Articulo_1	 26.36 	08/12/2022	74
Articulo_2	 26.36 	09/12/2022	91
Articulo_3	 63.59 	10/12/2022	76
Articulo_4	 75.59 	11/12/2022	98
Articulo_5	 29.94 	12/12/2022	83
Articulo_6	 33.67 	13/12/2022	97
Articulo_7	 86.61 	14/12/2022	40
Articulo_8	 58.14 	15/12/2022	46
Articulo_9	 96.74 	16/12/2022	50
Articulo_10	 34.30 	17/12/2022	72
Articulo_11	 74.60 	18/12/2022	97
Articulo_12	 83.59 	19/12/2022	14
Articulo_13	 35.82 	20/12/2022	46
Articulo_14	 24.83 	21/12/2022	83
Articulo_15	 19.14 	22/12/2022	61
Articulo_16	 82.12 	23/12/2022	97
Articulo_17	 33.59 	24/12/2022	99
Articulo_18	 66.90 	25/12/2022	41
Articulo_19	 37.81 	26/12/2022	72
Articulo_20	 74.37 	27/12/2022	16
Articulo_21	 21.10 	28/12/2022	69
Articulo_22	 23.40 	29/12/2022	90
Articulo_23	 88.77 	30/12/2022	35
Articulo_24	 15.64 	31/12/2022	59
Articulo_25	 18.11 	01/01/2023	62
Articulo_26	 92.11 	02/01/2023	7
Articulo_27	 0.46 	03/01/2023	55
Articulo_28	 99.14 	04/01/2023	10
Articulo_29	 30.84 	05/01/2023	53
Articulo_30	 0.71 	06/01/2023	20
Articulo_31	 63.97 	07/01/2023	83
Articulo_32	 42.77 	08/01/2023	41
Articulo_33	 63.19 	09/01/2023	28
Articulo_34	 59.55 	10/01/2023	99
Articulo_35	 14.01 	11/01/2023	88
Articulo_36	 16.71 	12/01/2023	93
Articulo_37	 63.54 	13/01/2023	79
Articulo_38	 98.06 	14/01/2023	37
Articulo_39	 2.09 	15/01/2023	94
Articulo_40	 33.96 	16/01/2023	71
Articulo_41	 64.99 	17/01/2023	32
Articulo_42	 16.22 	18/01/2023	22
Articulo_43	 85.79 	19/01/2023	40
Articulo_44	 1.96 	20/01/2023	16
Articulo_45	 26.51 	21/01/2023	33
Articulo_46	 93.79 	22/01/2023	59
Articulo_47	 7.60 	23/01/2023	21
Articulo_48	 50.20 	24/01/2023	15
Articulo_49	 78.74 	25/01/2023	59
Articulo_50	 57.81 	26/01/2023	27
Articulo_51	 59.93 	27/01/2023	77
Articulo_52	 59.48 	28/01/2023	80
Articulo_53	 70.15 	29/01/2023	3
Articulo_54	 94.75 	30/01/2023	87
Articulo_55	 45.56 	31/01/2023	46
Articulo_56	 27.77 	01/02/2023	52
Articulo_57	 3.45 	02/02/2023	36
Articulo_58	 86.57 	03/02/2023	76
Articulo_59	 40.74 	04/02/2023	82
Articulo_60	 31.88 	05/02/2023	89
Articulo_61	 33.83 	06/02/2023	68
Articulo_62	 26.10 	07/02/2023	69
Articulo_63	 5.49 	08/02/2023	23
Articulo_64	 33.53 	09/02/2023	95
Articulo_65	 30.25 	10/02/2023	46
Articulo_66	 60.76 	11/02/2023	7
Articulo_67	 80.84 	12/02/2023	20
Articulo_68	 52.74 	13/02/2023	84
Articulo_69	 42.44 	14/02/2023	58
Articulo_70	 78.91 	15/02/2023	82
Articulo_71	 19.14 	16/02/2023	72
Articulo_72	 65.78 	17/02/2023	27
Articulo_73	 40.00 	18/02/2023	15
Articulo_74	 4.05 	19/02/2023	31
Articulo_75	 82.89 	20/02/2023	10
